date,areaName,deathsRegistered
2021-01-07,Scotland,
2021-01-06,Scotland,
2021-01-05,Scotland,
2021-01-04,Scotland,
2021-01-03,Scotland,
2021-01-02,Scotland,
2021-01-01,Scotland,183
2020-12-31,Scotland,
2020-12-30,Scotland,
2020-12-29,Scotland,
2020-12-28,Scotland,
2020-12-27,Scotland,
2020-12-26,Scotland,
2020-12-25,Scotland,200
2020-12-24,Scotland,
2020-12-23,Scotland,
2020-12-22,Scotland,
2020-12-21,Scotland,
2020-12-20,Scotland,
2020-12-19,Scotland,
2020-12-18,Scotland,208
2020-12-17,Scotland,
2020-12-16,Scotland,
2020-12-15,Scotland,
2020-12-14,Scotland,
2020-12-13,Scotland,
2020-12-12,Scotland,
2020-12-11,Scotland,226
2020-12-10,Scotland,
2020-12-09,Scotland,
2020-12-08,Scotland,
2020-12-07,Scotland,
2020-12-06,Scotland,
2020-12-05,Scotland,
2020-12-04,Scotland,232
2020-12-03,Scotland,
2020-12-02,Scotland,
2020-12-01,Scotland,
2020-11-30,Scotland,
2020-11-29,Scotland,
2020-11-28,Scotland,
2020-11-27,Scotland,252
2020-11-26,Scotland,
2020-11-25,Scotland,
2020-11-24,Scotland,
2020-11-23,Scotland,
2020-11-22,Scotland,
2020-11-21,Scotland,
2020-11-20,Scotland,246
2020-11-19,Scotland,
2020-11-18,Scotland,
2020-11-17,Scotland,
2020-11-16,Scotland,
2020-11-15,Scotland,
2020-11-14,Scotland,
2020-11-13,Scotland,279
2020-11-12,Scotland,
2020-11-11,Scotland,
2020-11-10,Scotland,
2020-11-09,Scotland,
2020-11-08,Scotland,
2020-11-07,Scotland,
2020-11-06,Scotland,207
2020-11-05,Scotland,
2020-11-04,Scotland,
2020-11-03,Scotland,
2020-11-02,Scotland,
2020-11-01,Scotland,
2020-10-31,Scotland,
2020-10-30,Scotland,168
2020-10-29,Scotland,
2020-10-28,Scotland,
2020-10-27,Scotland,
2020-10-26,Scotland,
2020-10-25,Scotland,
2020-10-24,Scotland,
2020-10-23,Scotland,106
2020-10-22,Scotland,
2020-10-21,Scotland,
2020-10-20,Scotland,
2020-10-19,Scotland,
2020-10-18,Scotland,
2020-10-17,Scotland,
2020-10-16,Scotland,76
2020-10-15,Scotland,
2020-10-14,Scotland,
2020-10-13,Scotland,
2020-10-12,Scotland,
2020-10-11,Scotland,
2020-10-10,Scotland,
2020-10-09,Scotland,25
2020-10-08,Scotland,
2020-10-07,Scotland,
2020-10-06,Scotland,
2020-10-05,Scotland,
2020-10-04,Scotland,
2020-10-03,Scotland,
2020-10-02,Scotland,20
2020-10-01,Scotland,
2020-09-30,Scotland,
2020-09-29,Scotland,
2020-09-28,Scotland,
2020-09-27,Scotland,
2020-09-26,Scotland,
2020-09-25,Scotland,10
2020-09-24,Scotland,
2020-09-23,Scotland,
2020-09-22,Scotland,
2020-09-21,Scotland,
2020-09-20,Scotland,
2020-09-19,Scotland,
2020-09-18,Scotland,11
2020-09-17,Scotland,
2020-09-16,Scotland,
2020-09-15,Scotland,
2020-09-14,Scotland,
2020-09-13,Scotland,
2020-09-12,Scotland,
2020-09-11,Scotland,5
2020-09-10,Scotland,
2020-09-09,Scotland,
2020-09-08,Scotland,
2020-09-07,Scotland,
2020-09-06,Scotland,
2020-09-05,Scotland,
2020-09-04,Scotland,2
2020-09-03,Scotland,
2020-09-02,Scotland,
2020-09-01,Scotland,
2020-08-31,Scotland,
2020-08-30,Scotland,
2020-08-29,Scotland,
2020-08-28,Scotland,7
2020-08-27,Scotland,
2020-08-26,Scotland,
2020-08-25,Scotland,
2020-08-24,Scotland,
2020-08-23,Scotland,
2020-08-22,Scotland,
2020-08-21,Scotland,6
2020-08-20,Scotland,
2020-08-19,Scotland,
2020-08-18,Scotland,
2020-08-17,Scotland,
2020-08-16,Scotland,
2020-08-15,Scotland,
2020-08-14,Scotland,3
2020-08-13,Scotland,
2020-08-12,Scotland,
2020-08-11,Scotland,
2020-08-10,Scotland,
2020-08-09,Scotland,
2020-08-08,Scotland,
2020-08-07,Scotland,5
2020-08-06,Scotland,
2020-08-05,Scotland,
2020-08-04,Scotland,
2020-08-03,Scotland,
2020-08-02,Scotland,
2020-08-01,Scotland,
2020-07-31,Scotland,6
2020-07-30,Scotland,
2020-07-29,Scotland,
2020-07-28,Scotland,
2020-07-27,Scotland,
2020-07-26,Scotland,
2020-07-25,Scotland,
2020-07-24,Scotland,8
2020-07-23,Scotland,
2020-07-22,Scotland,
2020-07-21,Scotland,
2020-07-20,Scotland,
2020-07-19,Scotland,
2020-07-18,Scotland,
2020-07-17,Scotland,6
2020-07-16,Scotland,
2020-07-15,Scotland,
2020-07-14,Scotland,
2020-07-13,Scotland,
2020-07-12,Scotland,
2020-07-11,Scotland,
2020-07-10,Scotland,13
2020-07-09,Scotland,
2020-07-08,Scotland,
2020-07-07,Scotland,
2020-07-06,Scotland,
2020-07-05,Scotland,
2020-07-04,Scotland,
2020-07-03,Scotland,19
2020-07-02,Scotland,
2020-07-01,Scotland,
2020-06-30,Scotland,
2020-06-29,Scotland,
2020-06-28,Scotland,
2020-06-27,Scotland,
2020-06-26,Scotland,36
2020-06-25,Scotland,
2020-06-24,Scotland,
2020-06-23,Scotland,
2020-06-22,Scotland,
2020-06-21,Scotland,
2020-06-20,Scotland,
2020-06-19,Scotland,49
2020-06-18,Scotland,
2020-06-17,Scotland,
2020-06-16,Scotland,
2020-06-15,Scotland,
2020-06-14,Scotland,
2020-06-13,Scotland,
2020-06-12,Scotland,68
2020-06-11,Scotland,
2020-06-10,Scotland,
2020-06-09,Scotland,
2020-06-08,Scotland,
2020-06-07,Scotland,
2020-06-06,Scotland,
2020-06-05,Scotland,89
2020-06-04,Scotland,
2020-06-03,Scotland,
2020-06-02,Scotland,
2020-06-01,Scotland,
2020-05-31,Scotland,
2020-05-30,Scotland,
2020-05-29,Scotland,131
2020-05-28,Scotland,
2020-05-27,Scotland,
2020-05-26,Scotland,
2020-05-25,Scotland,
2020-05-24,Scotland,
2020-05-23,Scotland,
2020-05-22,Scotland,230
2020-05-21,Scotland,
2020-05-20,Scotland,
2020-05-19,Scotland,
2020-05-18,Scotland,
2020-05-17,Scotland,
2020-05-16,Scotland,
2020-05-15,Scotland,336
2020-05-14,Scotland,
2020-05-13,Scotland,
2020-05-12,Scotland,
2020-05-11,Scotland,
2020-05-10,Scotland,
2020-05-09,Scotland,
2020-05-08,Scotland,415
2020-05-07,Scotland,
2020-05-06,Scotland,
2020-05-05,Scotland,
2020-05-04,Scotland,
2020-05-03,Scotland,
2020-05-02,Scotland,
2020-05-01,Scotland,527
2020-04-30,Scotland,
2020-04-29,Scotland,
2020-04-28,Scotland,
2020-04-27,Scotland,
2020-04-26,Scotland,
