date,areaName,deathsRegistered
2020-04-11,Wales,409
2020-04-10,Wales,304
2020-04-09,Wales,304
2020-04-08,Wales,304
2020-04-07,Wales,304
2020-04-06,Wales,304
2020-04-05,Wales,304
2020-04-04,Wales,304
2020-04-03,Wales,134
2020-04-02,Wales,134
2020-04-01,Wales,134
2020-03-31,Wales,134
2020-03-30,Wales,134
2020-03-29,Wales,134
2020-03-28,Wales,134
2020-03-27,Wales,21
2020-03-26,Wales,21
2020-03-25,Wales,21
2020-03-24,Wales,21
2020-03-23,Wales,21
2020-03-22,Wales,21
2020-03-21,Wales,21
2020-03-20,Wales,2
