week_ended,week_number,total_registrations,covid_registrations,covid_occurrences,estimated_occurrences
2017-11-24,47,862,,,
2017-12-01,48,878,,,
2017-12-08,49,970,,,
2017-12-15,50,971,,,
2017-12-22,51,1039,,,
2017-12-29,52,685,,,
2018-01-05,1,1085,,,
2018-01-12,2,1266,,,
2018-01-19,3,1175,,,
2018-01-26,4,1165,,,
2018-02-02,5,1154,,,
2018-02-09,6,1109,,,
2018-02-16,7,1024,,,
2018-02-23,8,1034,,,
2018-03-02,9,907,,,
2018-03-09,10,1072,,,
2018-03-16,11,1116,,,
2018-03-23,12,1038,,,
2018-03-30,13,819,,,
2018-04-06,14,886,,,
2018-04-13,15,1068,,,
2018-04-20,16,986,,,
2018-04-27,17,904,,,
2018-05-04,18,892,,,
2018-05-11,19,740,,,
2018-05-18,20,943,,,
2018-05-25,21,828,,,
2018-06-01,22,716,,,
2018-06-08,23,884,,,
2018-06-15,24,777,,,
2018-06-22,25,764,,,
2018-06-29,26,822,,,
2018-07-06,27,788,,,
2018-07-13,28,758,,,
2018-07-20,29,730,,,
2018-07-27,30,762,,,
2018-08-03,31,830,,,
2018-08-10,32,793,,,
2018-08-17,33,742,,,
2018-08-24,34,780,,,
2018-08-31,35,630,,,
2018-09-07,36,804,,,
2018-09-14,37,814,,,
2018-09-21,38,776,,,
2018-09-28,39,766,,,
2018-10-05,40,781,,,
2018-10-12,41,832,,,
2018-10-19,42,815,,,
2018-10-26,43,880,,,
2018-11-02,44,810,,,
2018-11-09,45,813,,,
2018-11-16,46,899,,,
2018-11-23,47,848,,,
2018-11-30,48,838,,,
2018-12-07,49,830,,,
2018-12-14,50,873,,,
2018-12-21,51,930,,,
2018-12-28,52,651,,,
2019-01-04,1,964,,,
2019-01-11,2,1089,,,
2019-01-18,3,979,,,
2019-01-25,4,1037,,,
2019-02-01,5,963,,,
2019-02-08,6,988,,,
2019-02-15,7,1033,,,
2019-02-22,8,928,,,
2019-03-01,9,927,,,
2019-03-08,10,946,,,
2019-03-15,11,879,,,
2019-03-22,12,890,,,
2019-03-29,13,875,,,
2019-04-05,14,876,,,
2019-04-12,15,858,,,
2019-04-19,16,759,,,
2019-04-26,17,856,,,
2019-05-03,18,986,,,
2019-05-10,19,776,,,
2019-05-17,20,887,,,
2019-05-24,21,888,,,
2019-05-31,22,699,,,
2019-06-07,23,880,,,
2019-06-14,24,817,,,
2019-06-21,25,751,,,
2019-06-28,26,790,,,
2019-07-05,27,750,,,
2019-07-12,28,747,,,
2019-07-19,29,809,,,
2019-07-26,30,774,,,
2019-08-02,31,782,,,
2019-08-09,32,795,,,
2019-08-16,33,749,,,
2019-08-23,34,726,,,
2019-08-30,35,697,,,
2019-09-06,36,867,,,
2019-09-13,37,774,,,
2019-09-20,38,827,,,
2019-09-27,39,842,,,
2019-10-04,40,875,,,
2019-10-11,41,847,,,
2019-10-18,42,863,,,
2019-10-25,43,846,,,
2019-11-01,44,877,,,
2019-11-08,45,880,,,
2019-11-15,46,889,,,
2019-11-22,47,931,,,
2019-11-29,48,935,,,
2019-12-06,49,958,,,
2019-12-13,50,973,,,
2019-12-20,51,1050,,,
