week_ended,week_number,total_registrations,covid_registrations,covid_occurrences,estimated_occurrences
2015-12-04,49,1127,,,
2015-12-11,50,1102,,,
2015-12-18,51,1089,,,
2015-12-25,52,877,,,
2016-01-01,53,757,,,
2016-01-08,1,1424,,,
2016-01-15,2,1263,,,
2016-01-22,3,1219,,,
2016-01-29,4,1207,,,
2016-02-05,5,1169,,,
2016-02-12,6,1222,,,
2016-02-19,7,1171,,,
2016-02-26,8,1215,,,
2016-03-04,9,1218,,,
2016-03-11,10,1148,,,
2016-03-18,11,1292,,,
2016-03-25,12,1122,,,
2016-04-01,13,1104,,,
2016-04-08,14,1319,,,
2016-04-15,15,1282,,,
2016-04-22,16,1250,,,
2016-04-29,17,1128,,,
2016-05-06,18,994,,,
2016-05-13,19,1143,,,
2016-05-20,20,1092,,,
2016-05-27,21,1082,,,
2016-06-03,22,817,,,
2016-06-10,23,1004,,,
2016-06-17,24,993,,,
2016-06-24,25,1039,,,
2016-07-01,26,964,,,
2016-07-08,27,1031,,,
2016-07-15,28,1052,,,
2016-07-22,29,1023,,,
2016-07-29,30,1027,,,
2016-08-05,31,1052,,,
2016-08-12,32,974,,,
2016-08-19,33,983,,,
2016-08-26,34,1000,,,
2016-09-02,35,797,,,
2016-09-09,36,1033,,,
2016-09-16,37,988,,,
2016-09-23,38,941,,,
2016-09-30,39,987,,,
2016-10-07,40,1024,,,
2016-10-14,41,1056,,,
2016-10-21,42,1078,,,
2016-10-28,43,1043,,,
2016-11-04,44,1114,,,
2016-11-11,45,1139,,,
2016-11-18,46,1154,,,
2016-11-25,47,1154,,,
2016-12-02,48,1112,,,
2016-12-09,49,1201,,,
2016-12-16,50,1145,,,
2016-12-23,51,1223,,,
2016-12-30,52,846,,,
2017-01-06,1,1228,,,
2017-01-13,2,1419,,,
2017-01-20,3,1346,,,
2017-01-27,4,1278,,,
2017-02-03,5,1359,,,
2017-02-10,6,1339,,,
2017-02-17,7,1217,,,
2017-02-24,8,1312,,,
2017-03-03,9,1221,,,
2017-03-10,10,1144,,,
2017-03-17,11,1083,,,
2017-03-24,12,1107,,,
2017-03-31,13,1064,,,
2017-04-07,14,1075,,,
2017-04-14,15,863,,,
2017-04-21,16,984,,,
2017-04-28,17,1159,,,
2017-05-05,18,997,,,
2017-05-12,19,1155,,,
2017-05-19,20,1161,,,
2017-05-26,21,1118,,,
2017-06-02,22,897,,,
2017-06-09,23,1066,,,
2017-06-16,24,1015,,,
2017-06-23,25,1058,,,
2017-06-30,26,1038,,,
2017-07-07,27,996,,,
2017-07-14,28,1031,,,
2017-07-21,29,979,,,
2017-07-28,30,963,,,
2017-08-04,31,946,,,
2017-08-11,32,982,,,
2017-08-18,33,998,,,
2017-08-25,34,1001,,,
2017-09-01,35,908,,,
2017-09-08,36,993,,,
2017-09-15,37,1006,,,
2017-09-22,38,1074,,,
2017-09-29,39,1109,,,
2017-10-06,40,1063,,,
2017-10-13,41,1068,,,
2017-10-20,42,1098,,,
2017-10-27,43,1020,,,
2017-11-03,44,1105,,,
2017-11-10,45,1117,,,
2017-11-17,46,1103,,,
2017-11-24,47,1151,,,
2017-12-01,48,1123,,,
2017-12-08,49,1140,,,
2017-12-15,50,1204,,,
2017-12-22,51,1332,,,
2017-12-29,52,863,,,
2018-01-05,1,1393,,,
2018-01-12,2,1552,,,
2018-01-19,3,1535,,,
2018-01-26,4,1460,,,
2018-02-02,5,1382,,,
2018-02-09,6,1378,,,
2018-02-16,7,1283,,,
2018-02-23,8,1314,,,
2018-03-02,9,997,,,
2018-03-09,10,1560,,,
2018-03-16,11,1414,,,
2018-03-23,12,1283,,,
2018-03-30,13,1047,,,
2018-04-06,14,1142,,,
2018-04-13,15,1293,,,
2018-04-20,16,1212,,,
2018-04-27,17,1117,,,
2018-05-04,18,1082,,,
2018-05-11,19,929,,,
2018-05-18,20,1068,,,
2018-05-25,21,997,,,
2018-06-01,22,830,,,
2018-06-08,23,1057,,,
2018-06-15,24,1085,,,
2018-06-22,25,1019,,,
2018-06-29,26,983,,,
2018-07-06,27,991,,,
2018-07-13,28,1025,,,
2018-07-20,29,971,,,
2018-07-27,30,941,,,
2018-08-03,31,957,,,
2018-08-10,32,997,,,
2018-08-17,33,902,,,
2018-08-24,34,900,,,
2018-08-31,35,845,,,
2018-09-07,36,1000,,,
2018-09-14,37,986,,,
2018-09-21,38,986,,,
2018-09-28,39,965,,,
2018-10-05,40,1020,,,
2018-10-12,41,1043,,,
2018-10-19,42,1088,,,
2018-10-26,43,1004,,,
2018-11-02,44,988,,,
2018-11-09,45,1106,,,
2018-11-16,46,1077,,,
2018-11-23,47,1062,,,
2018-11-30,48,1040,,,
2018-12-07,49,1076,,,
2018-12-14,50,1106,,,
2018-12-21,51,1225,,,
2018-12-28,52,756,,,
2019-01-04,1,1136,,,
2019-01-11,2,1394,,,
2019-01-18,3,1236,,,
2019-01-25,4,1229,,,
2019-02-01,5,1191,,,
2019-02-08,6,1251,,,
2019-02-15,7,1207,,,
2019-02-22,8,1234,,,
2019-03-01,9,1178,,,
2019-03-08,10,1198,,,
2019-03-15,11,1149,,,
2019-03-22,12,1089,,,
2019-03-29,13,1047,,,
2019-04-05,14,1039,,,
2019-04-12,15,1037,,,
2019-04-19,16,919,,,
2019-04-26,17,1053,,,
2019-05-03,18,1251,,,
2019-05-10,19,922,,,
2019-05-17,20,1078,,,
2019-05-24,21,1126,,,
2019-05-31,22,886,,,
2019-06-07,23,1182,,,
2019-06-14,24,986,,,
2019-06-21,25,1032,,,
2019-06-28,26,1005,,,
2019-07-05,27,962,,,
2019-07-12,28,972,,,
2019-07-19,29,981,,,
2019-07-26,30,982,,,
2019-08-02,31,926,,,
2019-08-09,32,1010,,,
2019-08-16,33,978,,,
2019-08-23,34,963,,,
2019-08-30,35,814,,,
2019-09-06,36,1014,,,
2019-09-13,37,1020,,,
2019-09-20,38,982,,,
2019-09-27,39,1017,,,
2019-10-04,40,1059,,,
2019-10-11,41,1026,,,
2019-10-18,42,1040,,,
2019-10-25,43,1107,,,
2019-11-01,44,1118,,,
2019-11-08,45,1102,,,
2019-11-15,46,1083,,,
2019-11-22,47,1203,,,
2019-11-29,48,1166,,,
2019-12-06,49,1157,,,
2019-12-13,50,1130,,,
2019-12-20,51,1288,,,
2019-12-27,52,766,,,
2020-01-03,1,1225,0,0,
2020-01-10,2,1487,0,0,
2020-01-17,3,1466,0,0,
2020-01-24,4,1253,0,0,
2020-01-31,5,1233,0,0,
2020-02-07,6,1157,0,0,
2020-02-14,7,1169,0,0,
2020-02-21,8,1118,0,0,
2020-02-28,9,1133,0,0,
2020-03-06,10,1170,0,0,
2020-03-13,11,1174,0,1,
2020-03-20,12,1156,1,16,
2020-03-27,13,1092,19,62,
2020-04-03,14,1520,155,226,
2020-04-10,15,1560,298,453,
2020-04-17,16,1854,501,487,
2020-04-24,17,1924,531,458,
2020-05-01,18,1554,404,383,
2020-05-08,19,1218,276,276,
2020-05-15,20,1449,239,153,
2020-05-22,21,1177,126,116,
2020-05-29,22,1011,103,101,
2020-06-05,23,1116,85,68,
2020-06-12,24,1035,48,44,
2020-06-19,25,990,36,22,
2020-06-26,26,979,16,19,
2020-07-03,27,938,17,11,
2020-07-10,28,930,7,9,
2020-07-17,29,953,11,7,
2020-07-24,30,941,5,3,
2020-07-31,31,988,2,4,
2020-08-07,32,929,2,1,
2020-08-14,33,1009,4,7,
2020-08-21,34,1043,5,5,
2020-08-28,35,959,6,5,
2020-09-04,36,803,2,4,
2020-09-11,37,1084,7,2,
2020-09-18,38,1021,5,9,
2020-09-25,39,1041,8,5,
2020-10-02,40,1003,3,6,
2020-10-09,41,1010,6,10,
2020-10-16,42,1174,18,21,
2020-10-23,43,1044,30,36,
2020-10-30,44,1129,46,60,
2020-11-06,45,1174,58,76,
2020-11-13,46,1168,100,103,
2020-11-20,47,1159,114,153,
2020-11-27,48,1272,194,195,
2020-12-04,49,1284,191,190,
2020-12-11,50,1156,162,182,
2020-12-18,51,1311,200,184,
2020-12-25,52,1115,155,184,
2021-01-01,53,929,158,158,
