week_ended,week_number,total_registrations,covid_registrations,covid_occurrences,total_occurrences
2011-03-25,12,1023,0,0,0
2011-04-01,13,937,0,0,0
2011-04-08,14,946,0,0,0
2011-04-15,15,950,0,0,0
2011-04-22,16,841,0,0,0
2011-04-29,17,841,0,0,0
2011-05-06,18,1009,0,0,0
2011-05-13,19,985,0,0,0
2011-05-20,20,879,0,0,0
2011-05-27,21,890,0,0,0
2011-06-03,22,826,0,0,0
2011-06-10,23,899,0,0,0
2011-06-17,24,889,0,0,0
2011-06-24,25,853,0,0,0
2011-07-01,26,872,0,0,0
2011-07-08,27,850,0,0,0
2011-07-15,28,851,0,0,0
2011-07-22,29,847,0,0,0
2011-07-29,30,851,0,0,0
2011-08-05,31,861,0,0,0
2011-08-12,32,819,0,0,0
2011-08-19,33,819,0,0,0
2011-08-26,34,873,0,0,0
2011-09-02,35,765,0,0,0
2011-09-09,36,890,0,0,0
2011-09-16,37,902,0,0,0
2011-09-23,38,877,0,0,0
2011-09-30,39,912,0,0,0
2011-10-07,40,895,0,0,0
2011-10-14,41,860,0,0,0
2011-10-21,42,881,0,0,0
2011-10-28,43,935,0,0,0
2011-11-04,44,1039,0,0,0
2011-11-11,45,855,0,0,0
2011-11-18,46,910,0,0,0
2011-11-25,47,907,0,0,0
2011-12-02,48,949,0,0,0
2011-12-09,49,1013,0,0,0
2011-12-16,50,1029,0,0,0
2011-12-23,51,1080,0,0,0
2011-12-30,52,891,0,0,0
2012-01-06,1,1069,0,0,0
2012-01-13,2,1150,0,0,0
2012-01-20,3,1093,0,0,0
2012-01-27,4,1074,0,0,0
2012-02-03,5,1010,0,0,0
2012-02-10,6,1039,0,0,0
2012-02-17,7,1037,0,0,0
2012-02-24,8,1086,0,0,0
2012-03-02,9,1085,0,0,0
2012-03-09,10,1006,0,0,0
2012-03-16,11,1031,0,0,0
2012-03-23,12,985,0,0,0
2012-03-30,13,892,0,0,0
2012-04-06,14,827,0,0,0
2012-04-13,15,969,0,0,0
2012-04-20,16,1034,0,0,0
2012-04-27,17,1024,0,0,0
2012-05-04,18,964,0,0,0
2012-05-11,19,820,0,0,0
2012-05-18,20,1012,0,0,0
2012-05-25,21,933,0,0,0
2012-06-01,22,978,0,0,0
2012-06-08,23,714,0,0,0
2012-06-15,24,1000,0,0,0
2012-06-22,25,861,0,0,0
2012-06-29,26,894,0,0,0
2012-07-06,27,923,0,0,0
2012-07-13,28,828,0,0,0
2012-07-20,29,889,0,0,0
2012-07-27,30,937,0,0,0
2012-08-03,31,844,0,0,0
2012-08-10,32,871,0,0,0
2012-08-17,33,872,0,0,0
2012-08-24,34,917,0,0,0
2012-08-31,35,793,0,0,0
2012-09-07,36,853,0,0,0
2012-09-14,37,940,0,0,0
2012-09-21,38,882,0,0,0
2012-09-28,39,891,0,0,0
2012-10-05,40,858,0,0,0
2012-10-12,41,940,0,0,0
2012-10-19,42,901,0,0,0
2012-10-26,43,948,0,0,0
2012-11-02,44,928,0,0,0
2012-11-09,45,928,0,0,0
2012-11-16,46,954,0,0,0
2012-11-23,47,1017,0,0,0
2012-11-30,48,929,0,0,0
2012-12-07,49,897,0,0,0
2012-12-14,50,1017,0,0,0
2012-12-21,51,977,0,0,0
2012-12-28,52,845,0,0,0
2013-01-04,1,1138,0,0,0
2013-01-11,2,1213,0,0,0
2013-01-18,3,1155,0,0,0
2013-01-25,4,1163,0,0,0
2013-02-01,5,1121,0,0,0
2013-02-08,6,1102,0,0,0
2013-02-15,7,1126,0,0,0
2013-02-22,8,1102,0,0,0
2013-03-01,9,1056,0,0,0
2013-03-08,10,1088,0,0,0
2013-03-15,11,1067,0,0,0
2013-03-22,12,1152,0,0,0
2013-03-29,13,927,0,0,0
2013-04-05,14,1113,0,0,0
2013-04-12,15,1147,0,0,0
2013-04-19,16,1139,0,0,0
2013-04-26,17,1085,0,0,0
2013-05-03,18,966,0,0,0
2013-05-10,19,895,0,0,0
2013-05-17,20,995,0,0,0
2013-05-24,21,978,0,0,0
2013-05-31,22,779,0,0,0
2013-06-07,23,917,0,0,0
2013-06-14,24,874,0,0,0
2013-06-21,25,850,0,0,0
2013-06-28,26,817,0,0,0
2013-07-05,27,868,0,0,0
2013-07-12,28,861,0,0,0
2013-07-19,29,902,0,0,0
2013-07-26,30,789,0,0,0
2013-08-02,31,851,0,0,0
2013-08-09,32,855,0,0,0
2013-08-16,33,819,0,0,0
2013-08-23,34,854,0,0,0
2013-08-30,35,790,0,0,0
2013-09-06,36,874,0,0,0
2013-09-13,37,833,0,0,0
2013-09-20,38,875,0,0,0
2013-09-27,39,935,0,0,0
2013-10-04,40,862,0,0,0
2013-10-11,41,933,0,0,0
2013-10-18,42,865,0,0,0
2013-10-25,43,876,0,0,0
2013-11-01,44,875,0,0,0
2013-11-08,45,950,0,0,0
2013-11-15,46,954,0,0,0
2013-11-22,47,898,0,0,0
2013-11-29,48,932,0,0,0
2013-12-06,49,974,0,0,0
2013-12-13,50,1038,0,0,0
2013-12-20,51,1052,0,0,0
2013-12-27,52,689,0,0,0
2014-01-03,1,1139,0,0,0
2014-01-10,2,1151,0,0,0
2014-01-17,3,1077,0,0,0
2014-01-24,4,1058,0,0,0
2014-01-31,5,1020,0,0,0
2014-02-07,6,976,0,0,0
2014-02-14,7,999,0,0,0
2014-02-21,8,1016,0,0,0
2014-02-28,9,983,0,0,0
2014-03-07,10,962,0,0,0
2014-03-14,11,1000,0,0,0
2014-03-21,12,959,0,0,0
2014-03-28,13,896,0,0,0
2014-04-04,14,940,0,0,0
2014-04-11,15,921,0,0,0
2014-04-18,16,775,0,0,0
2014-04-25,17,919,0,0,0
2014-05-02,18,1049,0,0,0
2014-05-09,19,835,0,0,0
2014-05-16,20,960,0,0,0
2014-05-23,21,898,0,0,0
2014-05-30,22,791,0,0,0
2014-06-06,23,925,0,0,0
2014-06-13,24,888,0,0,0
2014-06-20,25,826,0,0,0
2014-06-27,26,904,0,0,0
2014-07-04,27,906,0,0,0
2014-07-11,28,829,0,0,0
2014-07-18,29,905,0,0,0
2014-07-25,30,806,0,0,0
2014-08-01,31,870,0,0,0
2014-08-08,32,854,0,0,0
2014-08-15,33,862,0,0,0
2014-08-22,34,877,0,0,0
2014-08-29,35,831,0,0,0
2014-09-05,36,1003,0,0,0
2014-09-12,37,899,0,0,0
2014-09-19,38,901,0,0,0
2014-09-26,39,897,0,0,0
2014-10-03,40,888,0,0,0
2014-10-10,41,891,0,0,0
2014-10-17,42,979,0,0,0
2014-10-24,43,937,0,0,0
2014-10-31,44,940,0,0,0
2014-11-07,45,960,0,0,0
2014-11-14,46,948,0,0,0
2014-11-21,47,949,0,0,0
2014-11-28,48,982,0,0,0
2014-12-05,49,1018,0,0,0
2014-12-12,50,1069,0,0,0
2014-12-19,51,1176,0,0,0
2014-12-26,52,833,0,0,0
2015-01-02,1,1261,0,0,0
2015-01-09,2,1607,0,0,0
2015-01-16,3,1442,0,0,0
2015-01-23,4,1386,0,0,0
2015-01-30,5,1220,0,0,0
2015-02-06,6,1151,0,0,0
2015-02-13,7,1128,0,0,0
2015-02-20,8,1068,0,0,0
2015-02-27,9,1113,0,0,0
2015-03-06,10,1106,0,0,0
2015-03-13,11,1040,0,0,0
2015-03-20,12,982,0,0,0
2015-03-27,13,1032,0,0,0
2015-04-03,14,841,0,0,0
2015-04-10,15,1023,0,0,0
2015-04-17,16,1103,0,0,0
2015-04-24,17,1009,0,0,0
2015-05-01,18,950,0,0,0
2015-05-08,19,895,0,0,0
2015-05-15,20,1038,0,0,0
2015-05-22,21,989,0,0,0
2015-05-29,22,866,0,0,0
2015-06-05,23,1024,0,0,0
2015-06-12,24,953,0,0,0
2015-06-19,25,896,0,0,0
2015-06-26,26,916,0,0,0
2015-07-03,27,868,0,0,0
2015-07-10,28,851,0,0,0
2015-07-17,29,855,0,0,0
2015-07-24,30,846,0,0,0
2015-07-31,31,846,0,0,0
2015-08-07,32,953,0,0,0
2015-08-14,33,888,0,0,0
2015-08-21,34,915,0,0,0
2015-08-28,35,896,0,0,0
2015-09-04,36,772,0,0,0
2015-09-11,37,931,0,0,0
2015-09-18,38,852,0,0,0
2015-09-25,39,922,0,0,0
2015-10-02,40,908,0,0,0
2015-10-09,41,915,0,0,0
2015-10-16,42,895,0,0,0
2015-10-23,43,951,0,0,0
2015-10-30,44,886,0,0,0
2015-11-06,45,1014,0,0,0
2015-11-13,46,960,0,0,0
2015-11-20,47,937,0,0,0
2015-11-27,48,994,0,0,0
2015-12-04,49,1012,0,0,0
2015-12-11,50,1050,0,0,0
2015-12-18,51,1060,0,0,0
2015-12-25,52,891,0,0,0
2016-01-01,53,755,0,0,0
2016-01-08,1,1284,0,0,0
2016-01-15,2,1148,0,0,0
2016-01-22,3,1119,0,0,0
2016-01-29,4,1131,0,0,0
2016-02-05,5,1109,0,0,0
2016-02-12,6,1066,0,0,0
2016-02-19,7,1083,0,0,0
2016-02-26,8,1115,0,0,0
2016-03-04,9,1107,0,0,0
2016-03-11,10,1097,0,0,0
2016-03-18,11,1102,0,0,0
2016-03-25,12,937,0,0,0
2016-04-01,13,968,0,0,0
2016-04-08,14,1128,0,0,0
2016-04-15,15,1105,0,0,0
2016-04-22,16,1008,0,0,0
2016-04-29,17,1014,0,0,0
2016-05-06,18,941,0,0,0
2016-05-13,19,1055,0,0,0
2016-05-20,20,927,0,0,0
2016-05-27,21,936,0,0,0
2016-06-03,22,814,0,0,0
2016-06-10,23,1038,0,0,0
2016-06-17,24,923,0,0,0
2016-06-24,25,925,0,0,0
2016-07-01,26,936,0,0,0
2016-07-08,27,910,0,0,0
2016-07-15,28,948,0,0,0
2016-07-22,29,877,0,0,0
2016-07-29,30,910,0,0,0
2016-08-05,31,879,0,0,0
2016-08-12,32,886,0,0,0
2016-08-19,33,887,0,0,0
2016-08-26,34,860,0,0,0
2016-09-02,35,800,0,0,0
2016-09-09,36,942,0,0,0
2016-09-16,37,914,0,0,0
2016-09-23,38,890,0,0,0
2016-09-30,39,856,0,0,0
2016-10-07,40,907,0,0,0
2016-10-14,41,940,0,0,0
2016-10-21,42,919,0,0,0
2016-10-28,43,914,0,0,0
2016-11-04,44,1041,0,0,0
2016-11-11,45,1017,0,0,0
2016-11-18,46,1025,0,0,0
2016-11-25,47,1022,0,0,0
2016-12-02,48,973,0,0,0
2016-12-09,49,1193,0,0,0
2016-12-16,50,1036,0,0,0
2016-12-23,51,1097,0,0,0
2016-12-30,52,794,0,0,0
2017-01-06,1,1208,0,0,0
2017-01-13,2,1351,0,0,0
2017-01-20,3,1383,0,0,0
2017-01-27,4,1242,0,0,0
2017-02-03,5,1243,0,0,0
2017-02-10,6,1224,0,0,0
2017-02-17,7,1186,0,0,0
2017-02-24,8,1159,0,0,0
2017-03-03,9,1123,0,0,0
2017-03-10,10,1110,0,0,0
2017-03-17,11,1121,0,0,0
2017-03-24,12,1065,0,0,0
2017-03-31,13,1045,0,0,0
2017-04-07,14,929,0,0,0
2017-04-14,15,795,0,0,0
2017-04-21,16,1010,0,0,0
2017-04-28,17,1053,0,0,0
2017-05-05,18,872,0,0,0
2017-05-12,19,1053,0,0,0
2017-05-19,20,1030,0,0,0
2017-05-26,21,936,0,0,0
2017-06-02,22,818,0,0,0
2017-06-09,23,950,0,0,0
2017-06-16,24,918,0,0,0
2017-06-23,25,901,0,0,0
2017-06-30,26,914,0,0,0
2017-07-07,27,904,0,0,0
2017-07-14,28,953,0,0,0
2017-07-21,29,856,0,0,0
2017-07-28,30,881,0,0,0
2017-08-04,31,891,0,0,0
2017-08-11,32,882,0,0,0
2017-08-18,33,849,0,0,0
2017-08-25,34,848,0,0,0
2017-09-01,35,836,0,0,0
2017-09-08,36,921,0,0,0
2017-09-15,37,877,0,0,0
2017-09-22,38,919,0,0,0
2017-09-29,39,957,0,0,0
2017-10-06,40,946,0,0,0
2017-10-13,41,1011,0,0,0
2017-10-20,42,1019,0,0,0
2017-10-27,43,903,0,0,0
2017-11-03,44,1006,0,0,0
2017-11-10,45,1042,0,0,0
2017-11-17,46,1027,0,0,0
2017-11-24,47,1089,0,0,0
2017-12-01,48,1045,0,0,0
2017-12-08,49,1013,0,0,0
2017-12-15,50,1048,0,0,0
2017-12-22,51,1181,0,0,0
2017-12-29,52,840,0,0,0
2018-01-05,1,1300,0,0,0
2018-01-12,2,1481,0,0,0
2018-01-19,3,1387,0,0,0
2018-01-26,4,1363,0,0,0
2018-02-02,5,1285,0,0,0
2018-02-09,6,1206,0,0,0
2018-02-16,7,1230,0,0,0
2018-02-23,8,1196,0,0,0
2018-03-02,9,1125,0,0,0
2018-03-09,10,1192,0,0,0
2018-03-16,11,1203,0,0,0
2018-03-23,12,1124,0,0,0
2018-03-30,13,973,0,0,0
2018-04-06,14,1105,0,0,0
2018-04-13,15,1199,0,0,0
2018-04-20,16,1037,0,0,0
2018-04-27,17,987,0,0,0
2018-05-04,18,922,0,0,0
2018-05-11,19,886,0,0,0
2018-05-18,20,888,0,0,0
2018-05-25,21,913,0,0,0
2018-06-01,22,769,0,0,0
2018-06-08,23,985,0,0,0
2018-06-15,24,947,0,0,0
2018-06-22,25,944,0,0,0
2018-06-29,26,882,0,0,0
2018-07-06,27,895,0,0,0
2018-07-13,28,901,0,0,0
2018-07-20,29,942,0,0,0
2018-07-27,30,907,0,0,0
2018-08-03,31,817,0,0,0
2018-08-10,32,913,0,0,0
2018-08-17,33,880,0,0,0
2018-08-24,34,913,0,0,0
2018-08-31,35,779,0,0,0
2018-09-07,36,956,0,0,0
2018-09-14,37,865,0,0,0
2018-09-21,38,912,0,0,0
2018-09-28,39,904,0,0,0
2018-10-05,40,948,0,0,0
2018-10-12,41,963,0,0,0
2018-10-19,42,968,0,0,0
2018-10-26,43,956,0,0,0
2018-11-02,44,964,0,0,0
2018-11-09,45,981,0,0,0
2018-11-16,46,969,0,0,0
2018-11-23,47,1013,0,0,0
2018-11-30,48,998,0,0,0
2018-12-07,49,1006,0,0,0
2018-12-14,50,1108,0,0,0
2018-12-21,51,1148,0,0,0
2018-12-28,52,688,0,0,0
2019-01-04,1,1148,0,0,0
2019-01-11,2,1279,0,0,0
2019-01-18,3,1197,0,0,0
2019-01-25,4,1137,0,0,0
2019-02-01,5,1131,0,0,0
2019-02-08,6,1133,0,0,0
2019-02-15,7,1189,0,0,0
2019-02-22,8,1124,0,0,0
2019-03-01,9,1109,0,0,0
2019-03-08,10,1083,0,0,0
2019-03-15,11,1054,0,0,0
2019-03-22,12,1087,0,0,0
2019-03-29,13,943,0,0,0
2019-04-05,14,959,0,0,0
2019-04-12,15,1034,0,0,0
2019-04-19,16,910,0,0,0
2019-04-26,17,996,0,0,0
2019-05-03,18,1125,0,0,0
2019-05-10,19,924,0,0,0
2019-05-17,20,980,0,0,0
2019-05-24,21,1024,0,0,0
2019-05-31,22,782,0,0,0
2019-06-07,23,1025,0,0,0
2019-06-14,24,889,0,0,0
2019-06-21,25,931,0,0,0
2019-06-28,26,984,0,0,0
2019-07-05,27,896,0,0,0
2019-07-12,28,932,0,0,0
2019-07-19,29,841,0,0,0
2019-07-26,30,895,0,0,0
2019-08-02,31,936,0,0,0
2019-08-09,32,867,0,0,0
2019-08-16,33,857,0,0,0
2019-08-23,34,927,0,0,0
2019-08-30,35,832,0,0,0
2019-09-06,36,937,0,0,0
2019-09-13,37,916,0,0,0
2019-09-20,38,954,0,0,0
2019-09-27,39,906,0,0,0
2019-10-04,40,948,0,0,0
2019-10-11,41,1005,0,0,0
2019-10-18,42,1019,0,0,0
2019-10-25,43,1001,0,0,0
2019-11-01,44,1033,0,0,0
2019-11-08,45,1053,0,0,0
2019-11-15,46,1070,0,0,0
2019-11-22,47,1039,0,0,0
2019-11-29,48,1139,0,0,0
2019-12-06,49,1011,0,0,0
2019-12-13,50,1102,0,0,0
2019-12-20,51,1173,0,0,0
2019-12-27,52,737,0,0,0
2020-01-03,1,1240,0,0,0
2020-01-10,2,1339,0,0,0
2020-01-17,3,1278,0,0,0
2020-01-24,4,1187,0,0,0
2020-01-31,5,1136,0,0,0
2020-02-07,6,1072,0,0,0
2020-02-14,7,1059,0,0,0
2020-02-21,8,1087,0,0,0
2020-02-28,9,1078,0,0,0
2020-03-06,10,1112,0,0,0
2020-03-13,11,1053,0,0,0
2020-03-20,12,1012,5,11,0
2020-03-27,13,982,12,61,0
2020-04-03,14,1436,174,293,0
2020-04-10,15,1503,374,603,0
2020-04-17,16,1960,690,692,0
2020-04-24,17,2095,755,692,0
2020-05-01,18,1844,647,588,0
2020-05-08,19,1328,432,462,0
2020-05-15,20,1589,452,342,0
2020-05-22,21,1236,297,263,0
2020-05-29,22,1046,237,222,0
2020-06-05,23,1090,210,186,0
2020-06-12,24,980,136,129,0
2020-06-19,25,952,111,82,0
2020-06-26,26,922,69,72,0
2020-07-03,27,875,58,54,0
2020-07-10,28,848,47,38,0
2020-07-17,29,843,30,23,0
2020-07-24,30,817,32,29,0
2020-07-31,31,837,23,18,0
2020-08-07,32,851,16,14,0
2020-08-14,33,853,13,11,0
2020-08-21,34,870,12,16,0
2020-08-28,35,922,13,13,0
2020-09-04,36,780,10,10,0
2020-09-11,37,952,14,19,0
2020-09-18,38,939,21,21,0
2020-09-25,39,965,29,32,0
2020-10-02,40,978,30,36,0
2020-10-09,41,1067,52,71,0
2020-10-16,42,1001,87,104,0
2020-10-23,43,1111,159,216,0
2020-10-30,44,1168,204,264,0
2020-11-06,45,1294,329,392,0
2020-11-13,46,1350,450,504,0
2020-11-20,47,1441,481,483,0
2020-11-27,48,1501,537,500,0
2020-12-04,49,1403,444,420,0
2020-12-11,50,1326,390,383,0
2020-12-18,51,1380,394,356,0
2020-12-25,52,1130,285,297,0
2021-01-01,53,886,266,291,0
