week_ended,week_number,total_registrations,covid_registrations,covid_occurrences
2011-08-05,31,1368,0,0
2011-08-12,32,1276,0,0
2011-08-19,33,1267,0,0
2011-08-26,34,1247,0,0
2011-09-02,35,1220,0,0
2011-09-09,36,1283,0,0
2011-09-16,37,1363,0,0
2011-09-23,38,1329,0,0
2011-09-30,39,1377,0,0
2011-10-07,40,1314,0,0
2011-10-14,41,1359,0,0
2011-10-21,42,1394,0,0
2011-10-28,43,1369,0,0
2011-11-04,44,1391,0,0
2011-11-11,45,1381,0,0
2011-11-18,46,1452,0,0
2011-11-25,47,1405,0,0
2011-12-02,48,1432,0,0
2011-12-09,49,1532,0,0
2011-12-16,50,1547,0,0
2011-12-23,51,1696,0,0
2011-12-30,52,1162,0,0
2012-01-06,1,1584,0,0
2012-01-13,2,1836,0,0
2012-01-20,3,1652,0,0
2012-01-27,4,1569,0,0
2012-02-03,5,1507,0,0
2012-02-10,6,1597,0,0
2012-02-17,7,1668,0,0
2012-02-24,8,1787,0,0
2012-03-02,9,1738,0,0
2012-03-09,10,1652,0,0
2012-03-16,11,1645,0,0
2012-03-23,12,1545,0,0
2012-03-30,13,1516,0,0
2012-04-06,14,1326,0,0
2012-04-13,15,1488,0,0
2012-04-20,16,1673,0,0
2012-04-27,17,1597,0,0
2012-05-04,18,1487,0,0
2012-05-11,19,1378,0,0
2012-05-18,20,1457,0,0
2012-05-25,21,1497,0,0
2012-06-01,22,1478,0,0
2012-06-08,23,953,0,0
2012-06-15,24,1515,0,0
2012-06-22,25,1441,0,0
2012-06-29,26,1297,0,0
2012-07-06,27,1365,0,0
2012-07-13,28,1254,0,0
2012-07-20,29,1311,0,0
2012-07-27,30,1291,0,0
2012-08-03,31,1401,0,0
2012-08-10,32,1336,0,0
2012-08-17,33,1335,0,0
2012-08-24,34,1342,0,0
2012-08-31,35,1088,0,0
2012-09-07,36,1304,0,0
2012-09-14,37,1319,0,0
2012-09-21,38,1305,0,0
2012-09-28,39,1343,0,0
2012-10-05,40,1455,0,0
2012-10-12,41,1475,0,0
2012-10-19,42,1443,0,0
2012-10-26,43,1480,0,0
2012-11-02,44,1393,0,0
2012-11-09,45,1393,0,0
2012-11-16,46,1539,0,0
2012-11-23,47,1496,0,0
2012-11-30,48,1483,0,0
2012-12-07,49,1415,0,0
2012-12-14,50,1492,0,0
2012-12-21,51,1610,0,0
2012-12-28,52,1179,0,0
2013-01-04,1,1793,0,0
2013-01-11,2,1988,0,0
2013-01-18,3,1680,0,0
2013-01-25,4,1643,0,0
2013-02-01,5,1734,0,0
2013-02-08,6,1725,0,0
2013-02-15,7,1575,0,0
2013-02-22,8,1631,0,0
2013-03-01,9,1693,0,0
2013-03-08,10,1724,0,0
2013-03-15,11,1726,0,0
2013-03-22,12,1631,0,0
2013-03-29,13,1403,0,0
2013-04-05,14,1579,0,0
2013-04-12,15,1914,0,0
2013-04-19,16,1801,0,0
2013-04-26,17,1648,0,0
2013-05-03,18,1612,0,0
2013-05-10,19,1306,0,0
2013-05-17,20,1546,0,0
2013-05-24,21,1501,0,0
2013-05-31,22,1267,0,0
2013-06-07,23,1525,0,0
2013-06-14,24,1318,0,0
2013-06-21,25,1381,0,0
2013-06-28,26,1310,0,0
2013-07-05,27,1415,0,0
2013-07-12,28,1305,0,0
2013-07-19,29,1394,0,0
2013-07-26,30,1282,0,0
2013-08-02,31,1269,0,0
2013-08-09,32,1302,0,0
2013-08-16,33,1274,0,0
2013-08-23,34,1389,0,0
2013-08-30,35,1164,0,0
2013-09-06,36,1355,0,0
2013-09-13,37,1253,0,0
2013-09-20,38,1352,0,0
2013-09-27,39,1429,0,0
2013-10-04,40,1374,0,0
2013-10-11,41,1325,0,0
2013-10-18,42,1378,0,0
2013-10-25,43,1471,0,0
2013-11-01,44,1336,0,0
2013-11-08,45,1455,0,0
2013-11-15,46,1428,0,0
2013-11-22,47,1485,0,0
2013-11-29,48,1500,0,0
2013-12-06,49,1605,0,0
2013-12-13,50,1505,0,0
2013-12-20,51,1577,0,0
2013-12-27,52,1019,0,0
2014-01-03,1,1739,0,0
2014-01-10,2,1897,0,0
2014-01-17,3,1732,0,0
2014-01-24,4,1589,0,0
2014-01-31,5,1603,0,0
2014-02-07,6,1517,0,0
2014-02-14,7,1497,0,0
2014-02-21,8,1629,0,0
2014-02-28,9,1608,0,0
2014-03-07,10,1495,0,0
2014-03-14,11,1487,0,0
2014-03-21,12,1580,0,0
2014-03-28,13,1466,0,0
2014-04-04,14,1484,0,0
2014-04-11,15,1510,0,0
2014-04-18,16,1188,0,0
2014-04-25,17,1441,0,0
2014-05-02,18,1670,0,0
2014-05-09,19,1312,0,0
2014-05-16,20,1511,0,0
2014-05-23,21,1416,0,0
2014-05-30,22,1261,0,0
2014-06-06,23,1536,0,0
2014-06-13,24,1522,0,0
2014-06-20,25,1341,0,0
2014-06-27,26,1314,0,0
2014-07-04,27,1391,0,0
2014-07-11,28,1311,0,0
2014-07-18,29,1419,0,0
2014-07-25,30,1381,0,0
2014-08-01,31,1399,0,0
2014-08-08,32,1360,0,0
2014-08-15,33,1338,0,0
2014-08-22,34,1277,0,0
2014-08-29,35,1220,0,0
2014-09-05,36,1467,0,0
2014-09-12,37,1448,0,0
2014-09-19,38,1315,0,0
2014-09-26,39,1431,0,0
2014-10-03,40,1435,0,0
2014-10-10,41,1396,0,0
2014-10-17,42,1397,0,0
2014-10-24,43,1525,0,0
2014-10-31,44,1399,0,0
2014-11-07,45,1541,0,0
2014-11-14,46,1571,0,0
2014-11-21,47,1521,0,0
2014-11-28,48,1578,0,0
2014-12-05,49,1573,0,0
2014-12-12,50,1541,0,0
2014-12-19,51,1707,0,0
2014-12-26,52,1155,0,0
2015-01-02,1,1811,0,0
2015-01-09,2,2525,0,0
2015-01-16,3,2427,0,0
2015-01-23,4,2196,0,0
2015-01-30,5,1991,0,0
2015-02-06,6,1843,0,0
2015-02-13,7,1836,0,0
2015-02-20,8,1713,0,0
2015-02-27,9,1767,0,0
2015-03-06,10,1709,0,0
2015-03-13,11,1731,0,0
2015-03-20,12,1531,0,0
2015-03-27,13,1566,0,0
2015-04-03,14,1352,0,0
2015-04-10,15,1488,0,0
2015-04-17,16,1810,0,0
2015-04-24,17,1708,0,0
2015-05-01,18,1530,0,0
2015-05-08,19,1343,0,0
2015-05-15,20,1552,0,0
2015-05-22,21,1587,0,0
2015-05-29,22,1216,0,0
2015-06-05,23,1538,0,0
2015-06-12,24,1483,0,0
2015-06-19,25,1496,0,0
2015-06-26,26,1396,0,0
2015-07-03,27,1382,0,0
2015-07-10,28,1370,0,0
2015-07-17,29,1320,0,0
2015-07-24,30,1382,0,0
2015-07-31,31,1217,0,0
2015-08-07,32,1388,0,0
2015-08-14,33,1370,0,0
2015-08-21,34,1364,0,0
2015-08-28,35,1358,0,0
2015-09-04,36,1188,0,0
2015-09-11,37,1423,0,0
2015-09-18,38,1448,0,0
2015-09-25,39,1540,0,0
2015-10-02,40,1419,0,0
2015-10-09,41,1457,0,0
2015-10-16,42,1402,0,0
2015-10-23,43,1461,0,0
2015-10-30,44,1506,0,0
2015-11-06,45,1482,0,0
2015-11-13,46,1544,0,0
2015-11-20,47,1470,0,0
2015-11-27,48,1536,0,0
2015-12-04,49,1522,0,0
2015-12-11,50,1536,0,0
2015-12-18,51,1656,0,0
2015-12-25,52,1347,0,0
2016-01-01,53,1123,0,0
2016-01-08,1,1951,0,0
2016-01-15,2,1771,0,0
2016-01-22,3,1710,0,0
2016-01-29,4,1730,0,0
2016-02-05,5,1604,0,0
2016-02-12,6,1718,0,0
2016-02-19,7,1596,0,0
2016-02-26,8,1707,0,0
2016-03-04,9,1742,0,0
2016-03-11,10,1694,0,0
2016-03-18,11,1595,0,0
2016-03-25,12,1542,0,0
2016-04-01,13,1611,0,0
2016-04-08,14,1828,0,0
2016-04-15,15,1785,0,0
2016-04-22,16,1683,0,0
2016-04-29,17,1634,0,0
2016-05-06,18,1365,0,0
2016-05-13,19,1646,0,0
2016-05-20,20,1534,0,0
2016-05-27,21,1489,0,0
2016-06-03,22,1242,0,0
2016-06-10,23,1468,0,0
2016-06-17,24,1410,0,0
2016-06-24,25,1408,0,0
2016-07-01,26,1497,0,0
2016-07-08,27,1407,0,0
2016-07-15,28,1463,0,0
2016-07-22,29,1443,0,0
2016-07-29,30,1414,0,0
2016-08-05,31,1311,0,0
2016-08-12,32,1346,0,0
2016-08-19,33,1317,0,0
2016-08-26,34,1419,0,0
2016-09-02,35,1251,0,0
2016-09-09,36,1384,0,0
2016-09-16,37,1433,0,0
2016-09-23,38,1399,0,0
2016-09-30,39,1345,0,0
2016-10-07,40,1456,0,0
2016-10-14,41,1524,0,0
2016-10-21,42,1542,0,0
2016-10-28,43,1472,0,0
2016-11-04,44,1630,0,0
2016-11-11,45,1691,0,0
2016-11-18,46,1605,0,0
2016-11-25,47,1679,0,0
2016-12-02,48,1578,0,0
2016-12-09,49,1658,0,0
2016-12-16,50,1634,0,0
2016-12-23,51,1784,0,0
2016-12-30,52,1236,0,0
2017-01-06,1,1899,0,0
2017-01-13,2,2161,0,0
2017-01-20,3,2195,0,0
2017-01-27,4,1999,0,0
2017-02-03,5,1920,0,0
2017-02-10,6,1916,0,0
2017-02-17,7,1847,0,0
2017-02-24,8,1834,0,0
2017-03-03,9,1673,0,0
2017-03-10,10,1738,0,0
2017-03-17,11,1593,0,0
2017-03-24,12,1557,0,0
2017-03-31,13,1520,0,0
2017-04-07,14,1522,0,0
2017-04-14,15,1316,0,0
2017-04-21,16,1409,0,0
2017-04-28,17,1678,0,0
2017-05-05,18,1356,0,0
2017-05-12,19,1685,0,0
2017-05-19,20,1639,0,0
2017-05-26,21,1526,0,0
2017-06-02,22,1217,0,0
2017-06-09,23,1527,0,0
2017-06-16,24,1380,0,0
2017-06-23,25,1473,0,0
2017-06-30,26,1456,0,0
2017-07-07,27,1395,0,0
2017-07-14,28,1393,0,0
2017-07-21,29,1389,0,0
2017-07-28,30,1381,0,0
2017-08-04,31,1345,0,0
2017-08-11,32,1346,0,0
2017-08-18,33,1481,0,0
2017-08-25,34,1502,0,0
2017-09-01,35,1205,0,0
2017-09-08,36,1445,0,0
2017-09-15,37,1493,0,0
2017-09-22,38,1422,0,0
2017-09-29,39,1468,0,0
2017-10-06,40,1521,0,0
2017-10-13,41,1497,0,0
2017-10-20,42,1541,0,0
2017-10-27,43,1539,0,0
2017-11-03,44,1473,0,0
2017-11-10,45,1572,0,0
2017-11-17,46,1539,0,0
2017-11-24,47,1623,0,0
2017-12-01,48,1608,0,0
2017-12-08,49,1649,0,0
2017-12-15,50,1765,0,0
2017-12-22,51,1961,0,0
2017-12-29,52,1305,0,0
2018-01-05,1,1902,0,0
2018-01-12,2,2371,0,0
2018-01-19,3,2287,0,0
2018-01-26,4,2184,0,0
2018-02-02,5,2046,0,0
2018-02-09,6,1867,0,0
2018-02-16,7,1810,0,0
2018-02-23,8,1757,0,0
2018-03-02,9,1611,0,0
2018-03-09,10,1919,0,0
2018-03-16,11,1954,0,0
2018-03-23,12,1853,0,0
2018-03-30,13,1518,0,0
2018-04-06,14,1578,0,0
2018-04-13,15,1883,0,0
2018-04-20,16,1743,0,0
2018-04-27,17,1613,0,0
2018-05-04,18,1570,0,0
2018-05-11,19,1294,0,0
2018-05-18,20,1511,0,0
2018-05-25,21,1512,0,0
2018-06-01,22,1187,0,0
2018-06-08,23,1435,0,0
2018-06-15,24,1442,0,0
2018-06-22,25,1448,0,0
2018-06-29,26,1408,0,0
2018-07-06,27,1426,0,0
2018-07-13,28,1403,0,0
2018-07-20,29,1373,0,0
2018-07-27,30,1374,0,0
2018-08-03,31,1396,0,0
2018-08-10,32,1453,0,0
2018-08-17,33,1361,0,0
2018-08-24,34,1392,0,0
2018-08-31,35,1170,0,0
2018-09-07,36,1464,0,0
2018-09-14,37,1440,0,0
2018-09-21,38,1503,0,0
2018-09-28,39,1375,0,0
2018-10-05,40,1387,0,0
2018-10-12,41,1491,0,0
2018-10-19,42,1570,0,0
2018-10-26,43,1376,0,0
2018-11-02,44,1465,0,0
2018-11-09,45,1543,0,0
2018-11-16,46,1538,0,0
2018-11-23,47,1503,0,0
2018-11-30,48,1523,0,0
2018-12-07,49,1594,0,0
2018-12-14,50,1573,0,0
2018-12-21,51,1688,0,0
2018-12-28,52,1062,0,0
2019-01-04,1,1586,0,0
2019-01-11,2,1927,0,0
2019-01-18,3,1936,0,0
2019-01-25,4,1875,0,0
2019-02-01,5,1718,0,0
2019-02-08,6,1738,0,0
2019-02-15,7,1802,0,0
2019-02-22,8,1777,0,0
2019-03-01,9,1712,0,0
2019-03-08,10,1708,0,0
2019-03-15,11,1601,0,0
2019-03-22,12,1640,0,0
2019-03-29,13,1540,0,0
2019-04-05,14,1582,0,0
2019-04-12,15,1623,0,0
2019-04-19,16,1350,0,0
2019-04-26,17,1495,0,0
2019-05-03,18,1782,0,0
2019-05-10,19,1456,0,0
2019-05-17,20,1570,0,0
2019-05-24,21,1620,0,0
2019-05-31,22,1252,0,0
2019-06-07,23,1516,0,0
2019-06-14,24,1452,0,0
2019-06-21,25,1510,0,0
2019-06-28,26,1481,0,0
2019-07-05,27,1431,0,0
2019-07-12,28,1357,0,0
2019-07-19,29,1328,0,0
2019-07-26,30,1376,0,0
2019-08-02,31,1424,0,0
2019-08-09,32,1334,0,0
2019-08-16,33,1355,0,0
2019-08-23,34,1389,0,0
2019-08-30,35,1245,0,0
2019-09-06,36,1518,0,0
2019-09-13,37,1399,0,0
2019-09-20,38,1385,0,0
2019-09-27,39,1404,0,0
2019-10-04,40,1573,0,0
2019-10-11,41,1557,0,0
2019-10-18,42,1556,0,0
2019-10-25,43,1491,0,0
2019-11-01,44,1547,0,0
2019-11-08,45,1701,0,0
2019-11-15,46,1690,0,0
2019-11-22,47,1618,0,0
2019-11-29,48,1648,0,0
2019-12-06,49,1647,0,0
2019-12-13,50,1690,0,0
2019-12-20,51,1709,0,0
2019-12-27,52,1094,0,0
2020-01-03,1,1814,0,0
2020-01-10,2,2132,0,0
2020-01-17,3,2064,0,0
2020-01-24,4,1833,0,0
2020-01-31,5,1820,0,1
2020-02-07,6,1729,0,0
2020-02-14,7,1688,0,0
2020-02-21,8,1675,0,0
2020-02-28,9,1587,0,0
2020-03-06,10,1726,0,2
2020-03-13,11,1751,2,3
2020-03-20,12,1657,17,64
2020-03-27,13,1822,69,243
2020-04-03,14,2294,411,587
2020-04-10,15,2604,729,1103
2020-04-17,16,3084,1109,1135
2020-04-24,17,3334,1232,1086
2020-05-01,18,2853,966,801
2020-05-08,19,1887,551,536
2020-05-15,20,2251,598,473
2020-05-22,21,1937,409,339
2020-05-29,22,1515,269,251
2020-06-05,23,1610,219,191
2020-06-12,24,1530,174,128
2020-06-19,25,1411,117,102
2020-06-26,26,1311,85,85
2020-07-03,27,1454,73,69
2020-07-10,28,1228,62,66
2020-07-17,29,1339,69,49
2020-07-24,30,1340,40,44
2020-07-31,31,1447,45,32
2020-08-07,32,1370,24,22
2020-08-14,33,1395,21,30
2020-08-21,34,1608,24,10
2020-08-28,35,1511,11,12
2020-09-04,36,1208,17,15
2020-09-11,37,1610,12,3
2020-09-18,38,1530,11,17
2020-09-25,39,1521,16,13
2020-10-02,40,1577,26,30
2020-10-09,41,1462,21,18
2020-10-16,42,1462,30,34
2020-10-23,43,1510,41,62
2020-10-30,44,1563,73,75
2020-11-06,45,1614,89,133
2020-11-13,46,1616,144,173
2020-11-20,47,1687,176,224
2020-11-27,48,1655,256,278
2020-12-04,49,1720,250,298
2020-12-11,50,1706,294,360
2020-12-18,51,1947,425,458
2020-12-25,52,1701,415,628
2021-01-01,53,1595,523,562
