date,areaName,deaths,deathsRollingRate,deathsReported
2020-12-21,North East Derbyshire,1,1,0
2020-12-22,North East Derbyshire,2,3,1
2020-12-23,North East Derbyshire,0,3,0
2020-12-24,North East Derbyshire,1,3.8999999999999999112,2
2020-12-25,North East Derbyshire,1,4.9000000000000003553,0
2020-12-26,North East Derbyshire,0,4.9000000000000003553,1
2020-12-27,North East Derbyshire,0,4.9000000000000003553,0
2020-12-28,North East Derbyshire,2,5.9000000000000003553,0
2020-12-29,North East Derbyshire,1,4.9000000000000003553,0
2020-12-30,North East Derbyshire,0,4.9000000000000003553,3
2020-12-31,North East Derbyshire,1,4.9000000000000003553,0
2021-01-01,North East Derbyshire,1,4.9000000000000003553,0
2021-01-02,North East Derbyshire,3,7.9000000000000003553,1
2021-01-03,North East Derbyshire,2,9.9000000000000003553,2
2021-01-04,North East Derbyshire,2,9.9000000000000003553,0
2021-01-05,North East Derbyshire,2,10.800000000000000711,4
2021-01-06,North East Derbyshire,1,11.800000000000000711,2
2021-01-07,North East Derbyshire,1,11.800000000000000711,2
2021-01-08,North East Derbyshire,1,11.800000000000000711,2
2021-01-09,North East Derbyshire,0,8.9000000000000003553,1
2021-01-10,North East Derbyshire,1,7.9000000000000003553,0
2021-01-11,North East Derbyshire,3,8.9000000000000003553,0
2021-01-12,North East Derbyshire,2,8.9000000000000003553,2
2021-01-13,North East Derbyshire,1,8.9000000000000003553,2
2021-01-14,North East Derbyshire,1,8.9000000000000003553,3
2021-01-15,North East Derbyshire,2,9.9000000000000003553,1
2021-01-16,North East Derbyshire,3,12.800000000000000711,0
2021-01-17,North East Derbyshire,0,11.800000000000000711,2
2021-01-18,North East Derbyshire,1,9.9000000000000003553,0
2021-01-19,North East Derbyshire,1,8.9000000000000003553,1
2021-01-20,North East Derbyshire,4,11.800000000000000711,2
2021-01-21,North East Derbyshire,0,10.800000000000000711,2
2021-01-22,North East Derbyshire,1,9.9000000000000003553,2
