date,areaName,deaths,deathsRollingRate,deathsReported
2020-09-14,Birmingham,1,0.2000000000000000111,0
2020-09-15,Birmingham,0,0.10000000000000000555,0
2020-09-16,Birmingham,1,0.2000000000000000111,1
2020-09-17,Birmingham,2,0.4000000000000000222,0
2020-09-18,Birmingham,2,0.5,1
2020-09-19,Birmingham,0,0.5,1
2020-09-20,Birmingham,5,1,3
2020-09-21,Birmingham,3,1.1000000000000000888,0
2020-09-22,Birmingham,3,1.3999999999999999112,6
2020-09-23,Birmingham,8,2,5
2020-09-24,Birmingham,1,1.8999999999999999112,3
2020-09-25,Birmingham,2,1.8999999999999999112,7
2020-09-26,Birmingham,0,1.8999999999999999112,0
2020-09-27,Birmingham,2,1.7000000000000001776,1
2020-09-28,Birmingham,1,1.5,0
2020-09-29,Birmingham,1,1.3000000000000000444,2
2020-09-30,Birmingham,2,0.80000000000000004441,2
2020-10-01,Birmingham,3,1,2
2020-10-02,Birmingham,0,0.80000000000000004441,2
2020-10-03,Birmingham,2,1,2
2020-10-04,Birmingham,3,1.1000000000000000888,0
2020-10-05,Birmingham,3,1.1999999999999999556,0
2020-10-06,Birmingham,1,1.1999999999999999556,1
2020-10-07,Birmingham,2,1.1999999999999999556,4
2020-10-08,Birmingham,4,1.3000000000000000444,3
2020-10-09,Birmingham,1,1.3999999999999999112,3
2020-10-10,Birmingham,1,1.3000000000000000444,0
2020-10-11,Birmingham,2,1.1999999999999999556,4
2020-10-12,Birmingham,1,1.1000000000000000888,1
2020-10-13,Birmingham,1,1.1000000000000000888,3
2020-10-14,Birmingham,3,1.1000000000000000888,0
2020-10-15,Birmingham,3,1.1000000000000000888,1
2020-10-16,Birmingham,4,1.3000000000000000444,3
2020-10-17,Birmingham,4,1.6000000000000000888,5
2020-10-18,Birmingham,3,1.7000000000000001776,1
2020-10-19,Birmingham,2,1.8000000000000000444,3
2020-10-20,Birmingham,2,1.8000000000000000444,3
2020-10-21,Birmingham,5,2,1
2020-10-22,Birmingham,4,2.1000000000000000888,3
2020-10-23,Birmingham,4,2.1000000000000000888,5
2020-10-24,Birmingham,0,1.8000000000000000444,2
2020-10-25,Birmingham,2,1.7000000000000001776,1
2020-10-26,Birmingham,7,2.1000000000000000888,3
2020-10-27,Birmingham,8,2.6000000000000000888,5
2020-10-28,Birmingham,2,2.3999999999999999112,3
2020-10-29,Birmingham,4,2.3999999999999999112,5
2020-10-30,Birmingham,7,2.6000000000000000888,5
2020-10-31,Birmingham,6,3.2000000000000001776,5
2020-11-01,Birmingham,8,3.7000000000000001776,5
2020-11-02,Birmingham,9,3.8999999999999999112,3
2020-11-03,Birmingham,9,3.8999999999999999112,6
2020-11-04,Birmingham,11,4.7000000000000001776,19
2020-11-05,Birmingham,10,5.2999999999999998224,6
2020-11-06,Birmingham,7,5.2999999999999998224,7
2020-11-07,Birmingham,11,5.7000000000000001776,6
2020-11-08,Birmingham,7,5.5999999999999996447,5
2020-11-09,Birmingham,5,5.2999999999999998224,10
2020-11-10,Birmingham,7,5.0999999999999996447,6
2020-11-11,Birmingham,10,5,7
2020-11-12,Birmingham,6,4.5999999999999996447,14
2020-11-13,Birmingham,10,4.9000000000000003553,12
2020-11-14,Birmingham,6,4.5,4
2020-11-15,Birmingham,7,4.5,9
2020-11-16,Birmingham,9,4.7999999999999998224,0
2020-11-17,Birmingham,6,4.7000000000000001776,25
2020-11-18,Birmingham,13,5,0
2020-11-19,Birmingham,7,5.0999999999999996447,11
2020-11-20,Birmingham,10,5.0999999999999996447,6
2020-11-21,Birmingham,15,5.9000000000000003553,11
2020-11-22,Birmingham,12,6.2999999999999998224,7
2020-11-23,Birmingham,12,6.5999999999999996447,7
2020-11-24,Birmingham,10,6.9000000000000003553,17
2020-11-25,Birmingham,9,6.5999999999999996447,16
2020-11-26,Birmingham,11,6.9000000000000003553,10
2020-11-27,Birmingham,5,6.5,7
2020-11-28,Birmingham,4,5.5,14
2020-11-29,Birmingham,13,5.5999999999999996447,2
2020-11-30,Birmingham,12,5.5999999999999996447,0
2020-12-01,Birmingham,2,4.9000000000000003553,8
2020-12-02,Birmingham,8,4.7999999999999998224,20
