date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-08-18,East of England,78,6.9,455,64,"[{'age': '18_to_64', 'rate': 364.7, 'value': 13992}, {'age': '65_to_84', 'rate': 1554.2, 'value': 17334}, {'age': '85+', 'rate': 5668.1, 'value': 10241}, {'age': '0_to_5', 'rate': 66.0, 'value': 306}, {'age': '6_to_17', 'rate': 31.7, 'value': 307}]"
2021-08-17,East of England,69,6.7,467,68,"[{'age': '18_to_64', 'rate': 363.8, 'value': 13957}, {'age': '65_to_84', 'rate': 1551.6, 'value': 17305}, {'age': '85+', 'rate': 5663.1, 'value': 10232}, {'age': '0_to_5', 'rate': 65.4, 'value': 303}, {'age': '6_to_17', 'rate': 31.5, 'value': 305}]"
2021-08-16,East of England,63,6.6,452,69,"[{'age': '18_to_64', 'rate': 362.9, 'value': 13923}, {'age': '65_to_84', 'rate': 1549.7, 'value': 17284}, {'age': '85+', 'rate': 5657.1, 'value': 10221}, {'age': '0_to_5', 'rate': 65.4, 'value': 303}, {'age': '6_to_17', 'rate': 31.2, 'value': 302}]"
2021-08-15,East of England,66,6.4,418,63,"[{'age': '18_to_64', 'rate': 362.1, 'value': 13891}, {'age': '65_to_84', 'rate': 1548.0, 'value': 17265}, {'age': '85+', 'rate': 5652.6, 'value': 10213}, {'age': '0_to_5', 'rate': 64.9, 'value': 301}, {'age': '6_to_17', 'rate': 31.0, 'value': 300}]"
2021-08-14,East of England,49,6.4,408,60,"[{'age': '18_to_64', 'rate': 361.3, 'value': 13859}, {'age': '65_to_84', 'rate': 1545.9, 'value': 17242}, {'age': '85+', 'rate': 5648.2, 'value': 10205}, {'age': '0_to_5', 'rate': 64.7, 'value': 300}, {'age': '6_to_17', 'rate': 30.8, 'value': 298}]"
2021-08-13,East of England,67,6.4,406,56,"[{'age': '18_to_64', 'rate': 360.6, 'value': 13833}, {'age': '65_to_84', 'rate': 1544.7, 'value': 17228}, {'age': '85+', 'rate': 5644.3, 'value': 10198}, {'age': '0_to_5', 'rate': 64.3, 'value': 298}, {'age': '6_to_17', 'rate': 30.8, 'value': 298}]"
2021-08-12,East of England,64,6.1,402,59,"[{'age': '18_to_64', 'rate': 359.9, 'value': 13808}, {'age': '65_to_84', 'rate': 1542.5, 'value': 17203}, {'age': '85+', 'rate': 5637.7, 'value': 10186}, {'age': '0_to_5', 'rate': 63.7, 'value': 295}, {'age': '6_to_17', 'rate': 30.6, 'value': 296}]"
2021-08-11,East of England,63,6.1,395,55,"[{'age': '18_to_64', 'rate': 358.8, 'value': 13766}, {'age': '65_to_84', 'rate': 1541.5, 'value': 17192}, {'age': '85+', 'rate': 5634.4, 'value': 10180}, {'age': '0_to_5', 'rate': 63.4, 'value': 294}, {'age': '6_to_17', 'rate': 30.2, 'value': 292}]"
2021-08-10,East of England,58,5.9,392,51,"[{'age': '18_to_64', 'rate': 358.0, 'value': 13732}, {'age': '65_to_84', 'rate': 1539.9, 'value': 17174}, {'age': '85+', 'rate': 5629.9, 'value': 10172}, {'age': '0_to_5', 'rate': 63.4, 'value': 294}, {'age': '6_to_17', 'rate': 29.9, 'value': 289}]"
2021-08-09,East of England,52,5.6,384,45,"[{'age': '18_to_64', 'rate': 357.1, 'value': 13699}, {'age': '65_to_84', 'rate': 1538.4, 'value': 17158}, {'age': '85+', 'rate': 5627.2, 'value': 10167}, {'age': '0_to_5', 'rate': 63.2, 'value': 293}, {'age': '6_to_17', 'rate': 29.6, 'value': 286}]"
2021-08-08,East of England,64,5.5,359,50,"[{'age': '18_to_64', 'rate': 356.3, 'value': 13669}, {'age': '65_to_84', 'rate': 1537.1, 'value': 17143}, {'age': '85+', 'rate': 5625.0, 'value': 10163}, {'age': '0_to_5', 'rate': 63.0, 'value': 292}, {'age': '6_to_17', 'rate': 29.4, 'value': 284}]"
2021-08-07,East of England,49,5.2,342,54,"[{'age': '18_to_64', 'rate': 355.3, 'value': 13629}, {'age': '65_to_84', 'rate': 1535.7, 'value': 17128}, {'age': '85+', 'rate': 5621.6, 'value': 10157}, {'age': '0_to_5', 'rate': 63.0, 'value': 292}, {'age': '6_to_17', 'rate': 29.0, 'value': 281}]"
2021-08-06,East of England,50,4.9,354,56,"[{'age': '18_to_64', 'rate': 354.6, 'value': 13604}, {'age': '65_to_84', 'rate': 1534.7, 'value': 17116}, {'age': '85+', 'rate': 5618.3, 'value': 10151}, {'age': '0_to_5', 'rate': 62.6, 'value': 290}, {'age': '6_to_17', 'rate': 28.6, 'value': 277}]"
2021-08-05,East of England,62,4.8,326,57,"[{'age': '18_to_64', 'rate': 353.9, 'value': 13575}, {'age': '65_to_84', 'rate': 1533.0, 'value': 17098}, {'age': '85+', 'rate': 5617.8, 'value': 10150}, {'age': '0_to_5', 'rate': 62.4, 'value': 289}, {'age': '6_to_17', 'rate': 28.5, 'value': 276}]"
2021-08-04,East of England,51,4.7,340,60,"[{'age': '18_to_64', 'rate': 353.0, 'value': 13541}, {'age': '65_to_84', 'rate': 1531.3, 'value': 17079}, {'age': '85+', 'rate': 5613.3, 'value': 10142}, {'age': '0_to_5', 'rate': 62.1, 'value': 288}, {'age': '6_to_17', 'rate': 28.5, 'value': 276}]"
2021-08-03,East of England,37,4.5,362,63,"[{'age': '18_to_64', 'rate': 352.3, 'value': 13514}, {'age': '65_to_84', 'rate': 1530.3, 'value': 17067}, {'age': '85+', 'rate': 5608.9, 'value': 10134}, {'age': '0_to_5', 'rate': 61.7, 'value': 286}, {'age': '6_to_17', 'rate': 28.3, 'value': 274}]"
2021-08-02,East of England,51,4.7,381,63,"[{'age': '18_to_64', 'rate': 351.7, 'value': 13490}, {'age': '65_to_84', 'rate': 1529.6, 'value': 17060}, {'age': '85+', 'rate': 5606.1, 'value': 10129}, {'age': '0_to_5', 'rate': 61.5, 'value': 285}, {'age': '6_to_17', 'rate': 28.3, 'value': 274}]"
2021-08-01,East of England,40,4.9,401,57,"[{'age': '18_to_64', 'rate': 350.8, 'value': 13457}, {'age': '65_to_84', 'rate': 1528.6, 'value': 17048}, {'age': '85+', 'rate': 5604.5, 'value': 10126}, {'age': '0_to_5', 'rate': 60.8, 'value': 282}, {'age': '6_to_17', 'rate': 28.3, 'value': 274}]"
