date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-09-04,Midlands,148,9.5,1174,161,"[{'age': '6_to_17', 'rate': 53.6, 'value': 829}, {'age': '85+', 'rate': 7056.3, 'value': 18543}, {'age': '65_to_84', 'rate': 2083.1, 'value': 36820}, {'age': '18_to_64', 'rate': 519.4, 'value': 32976}, {'age': '0_to_5', 'rate': 108.1, 'value': 793}]"
2021-09-03,Midlands,150,9.4,1235,170,"[{'age': '6_to_17', 'rate': 53.4, 'value': 826}, {'age': '85+', 'rate': 7048.7, 'value': 18523}, {'age': '65_to_84', 'rate': 2080.3, 'value': 36772}, {'age': '18_to_64', 'rate': 518.3, 'value': 32902}, {'age': '0_to_5', 'rate': 107.7, 'value': 790}]"
2021-09-02,Midlands,123,9.5,1226,180,"[{'age': '6_to_17', 'rate': 53.2, 'value': 823}, {'age': '85+', 'rate': 7042.2, 'value': 18506}, {'age': '65_to_84', 'rate': 2077.2, 'value': 36717}, {'age': '18_to_64', 'rate': 517.1, 'value': 32830}, {'age': '0_to_5', 'rate': 107.3, 'value': 787}]"
2021-09-01,Midlands,152,9.7,1265,181,"[{'age': '6_to_17', 'rate': 53.2, 'value': 823}, {'age': '85+', 'rate': 7036.5, 'value': 18491}, {'age': '65_to_84', 'rate': 2075.0, 'value': 36678}, {'age': '18_to_64', 'rate': 516.1, 'value': 32764}, {'age': '0_to_5', 'rate': 106.9, 'value': 784}]"
2021-08-31,Midlands,143,10.0,1280,182,"[{'age': '6_to_17', 'rate': 53.0, 'value': 820}, {'age': '85+', 'rate': 7031.2, 'value': 18477}, {'age': '65_to_84', 'rate': 2072.5, 'value': 36633}, {'age': '18_to_64', 'rate': 514.8, 'value': 32681}, {'age': '0_to_5', 'rate': 106.0, 'value': 777}]"
2021-08-30,Midlands,156,10.2,1210,182,"[{'age': '6_to_17', 'rate': 52.8, 'value': 816}, {'age': '85+', 'rate': 7022.8, 'value': 18455}, {'age': '65_to_84', 'rate': 2069.9, 'value': 36588}, {'age': '18_to_64', 'rate': 513.8, 'value': 32615}, {'age': '0_to_5', 'rate': 105.1, 'value': 771}]"
2021-08-29,Midlands,145,10.2,1202,178,"[{'age': '6_to_17', 'rate': 52.7, 'value': 815}, {'age': '85+', 'rate': 7015.6, 'value': 18436}, {'age': '65_to_84', 'rate': 2067.0, 'value': 36536}, {'age': '18_to_64', 'rate': 512.5, 'value': 32536}, {'age': '0_to_5', 'rate': 104.5, 'value': 766}]"
2021-08-28,Midlands,133,10.1,1172,178,"[{'age': '6_to_17', 'rate': 52.6, 'value': 814}, {'age': '85+', 'rate': 7007.2, 'value': 18414}, {'age': '65_to_84', 'rate': 2064.8, 'value': 36497}, {'age': '18_to_64', 'rate': 511.3, 'value': 32460}, {'age': '0_to_5', 'rate': 103.5, 'value': 759}]"
2021-08-27,Midlands,156,10.1,1204,185,"[{'age': '6_to_17', 'rate': 52.5, 'value': 812}, {'age': '85+', 'rate': 7000.0, 'value': 18395}, {'age': '65_to_84', 'rate': 2062.6, 'value': 36459}, {'age': '18_to_64', 'rate': 510.2, 'value': 32391}, {'age': '0_to_5', 'rate': 102.8, 'value': 754}]"
2021-08-26,Midlands,148,10.0,1180,178,"[{'age': '6_to_17', 'rate': 52.2, 'value': 807}, {'age': '85+', 'rate': 6993.1, 'value': 18377}, {'age': '65_to_84', 'rate': 2059.5, 'value': 36404}, {'age': '18_to_64', 'rate': 509.0, 'value': 32314}, {'age': '0_to_5', 'rate': 102.7, 'value': 753}]"
2021-08-25,Midlands,189,10.1,1217,183,"[{'age': '6_to_17', 'rate': 52.0, 'value': 805}, {'age': '85+', 'rate': 6984.4, 'value': 18354}, {'age': '65_to_84', 'rate': 2056.6, 'value': 36353}, {'age': '18_to_64', 'rate': 507.9, 'value': 32244}, {'age': '0_to_5', 'rate': 102.4, 'value': 751}]"
