week_ended,week_number,total_occurrences
14/04/2017,15,9693
21/04/2017,16,9466
28/04/2017,17,9773
05/05/2017,18,9881
12/05/2017,19,9966
19/05/2017,20,9734
26/05/2017,21,9896
02/06/2017,22,8977
09/06/2017,23,8847
16/06/2017,24,9114
23/06/2017,25,9994
30/06/2017,26,8902
07/07/2017,27,9145
14/07/2017,28,8848
21/07/2017,29,8943
28/07/2017,30,8807
04/08/2017,31,8919
11/08/2017,32,9073
18/08/2017,33,9282
25/08/2017,34,9148
01/09/2017,35,9064
08/09/2017,36,9156
15/09/2017,37,9200
22/09/2017,38,9558
29/09/2017,39,9837
06/10/2017,40,9778
13/10/2017,41,9964
20/10/2017,42,9978
27/10/2017,43,9809
03/11/2017,44,9977
10/11/2017,45,10031
17/11/2017,46,10372
24/11/2017,47,10753
01/12/2017,48,10577
08/12/2017,49,11323
15/12/2017,50,11863
22/12/2017,51,12536
29/12/2017,52,12875
05/01/2018,1,14164
12/01/2018,2,13748
19/01/2018,3,13715
26/01/2018,4,13293
02/02/2018,5,12679
09/02/2018,6,12126
16/02/2018,7,12308
23/02/2018,8,12042
02/03/2018,9,12342
09/03/2018,10,12920
16/03/2018,11,12206
23/03/2018,12,11487
30/03/2018,13,11191
06/04/2018,14,10719
13/04/2018,15,10391
20/04/2018,16,10169
27/04/2018,17,9359
04/05/2018,18,9578
11/05/2018,19,9461
18/05/2018,20,9334
25/05/2018,21,9202
01/06/2018,22,9327
08/06/2018,23,8938
15/06/2018,24,9038
22/06/2018,25,8922
29/06/2018,26,9335
06/07/2018,27,9332
13/07/2018,28,9053
20/07/2018,29,8981
27/07/2018,30,9432
03/08/2018,31,8711
10/08/2018,32,8897
17/08/2018,33,8676
24/08/2018,34,8779
31/08/2018,35,8681
07/09/2018,36,8864
14/09/2018,37,9164
21/09/2018,38,9300
28/09/2018,39,9229
05/10/2018,40,9404
12/10/2018,41,9689
19/10/2018,42,9417
26/10/2018,43,9356
02/11/2018,44,9983
09/11/2018,45,10085
16/11/2018,46,9947
23/11/2018,47,9758
30/11/2018,48,10048
07/12/2018,49,10517
14/12/2018,50,10186
21/12/2018,51,10789
28/12/2018,52,10829
04/01/2019,1,11042
11/01/2019,2,11575
18/01/2019,3,11402
25/01/2019,4,11430
01/02/2019,5,11652
08/02/2019,6,11670
15/02/2019,7,11466
22/02/2019,8,11121
01/03/2019,9,10743
08/03/2019,10,10490
15/03/2019,11,10466
22/03/2019,12,10077
29/03/2019,13,9740
05/04/2019,14,10082
12/04/2019,15,10213
19/04/2019,16,10583
26/04/2019,17,9981
03/05/2019,18,9714
10/05/2019,19,9576
17/05/2019,20,9616
24/05/2019,21,9739
31/05/2019,22,9222
07/06/2019,23,9332
14/06/2019,24,9331
21/06/2019,25,9273
28/06/2019,26,9188
05/07/2019,27,9195
12/07/2019,28,9082
19/07/2019,29,8991
26/07/2019,30,9774
02/08/2019,31,8618
09/08/2019,32,9016
16/08/2019,33,8612
23/08/2019,34,8900
30/08/2019,35,9375
06/09/2019,36,8944
13/09/2019,37,9254
20/09/2019,38,9220
27/09/2019,39,9597
04/10/2019,40,9444
11/10/2019,41,9981
18/10/2019,42,10148
25/10/2019,43,9955
01/11/2019,44,10263
08/11/2019,45,10447
15/11/2019,46,10529
22/11/2019,47,10862
29/11/2019,48,10833
06/12/2019,49,10864
13/12/2019,50,11337
20/12/2019,51,11948
27/12/2019,52,11982
03/01/2020,1,12431
10/01/2020,2,12139
17/01/2020,3,11746
24/01/2020,4,10914
31/01/2020,5,11094
07/02/2020,6,10710
14/02/2020,7,10877
21/02/2020,8,10795
28/02/2020,9,10647
06/03/2020,10,10964
13/03/2020,11,10808
20/03/2020,12,10976
27/03/2020,13,13700
03/04/2020,14,18498
10/04/2020,15,21944
17/04/2020,16,21510
24/04/2020,17,18954
01/05/2020,18,16101
08/05/2020,19,13981
15/05/2020,20,12199
22/05/2020,21,11174
29/05/2020,22,10450
05/06/2020,23,9945
12/06/2020,24,9533
19/06/2020,25,9133
26/06/2020,26,9082
03/07/2020,27,8881
10/07/2020,28,8763
17/07/2020,29,8829
24/07/2020,30,8905
31/07/2020,31,8934
07/08/2020,32,9023
14/08/2020,33,10154
21/08/2020,34,8853
28/08/2020,35,8673
04/09/2020,36,9084
11/09/2020,37,9159
18/09/2020,38,9463
25/09/2020,39,9621
02/10/2020,40,9987
09/10/2020,41,10351
16/10/2020,42,10392
23/10/2020,43,11078
30/10/2020,44,11431
06/11/2020,45,11788
13/11/2020,46,12370
20/11/2020,47,12338
27/11/2020,48,12456
04/12/2020,49,12675
11/12/2020,50,13037
18/12/2020,51,13197
25/12/2020,52,14439
01/01/2021,53,0
